Comment,Emotion
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger
im feeling slightly optimistic,joy
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
i just feel so fucked up these days,anger
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,joy
i feel like i have been a bit obnoxious in my picture posting,anger
i feel morally outraged and furious more often than i d like,anger
i feel pissed my friend didnt offer me a soda,anger
i feel our hearts are treading dangerous territory,anger
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i feel shafted or greedy,anger
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy
i feel a bit pissed off because we went first,anger
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy
i really like how the special edition really does feel special with songs on it,joy
i would accept your gift without feeling mad,anger
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger
i feel so tortured,anger
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy
i feel so comfortable around him,joy
i think of or feel gratitude i think of my kind and gracious heavenly father,joy
im feeling really really left out and somewhat dissatisfied with everything,anger
i take a long sip and feel the cold sensation of the iced capp,anger
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy
i feel so bitchy and mean and terrible,anger
i feel envious that they can keep their posts regular and interesting and wish that i could feel this way to,anger
i feel like him try to stay as faithful as possible to what he perceives as the real events that happened in that mountain,joy
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger
i wanted to make sure i didnt feel rushed getting to century college on friday afternoon,anger
id kick myself into gear but i just feel irritable with no motivation what so ever,anger
i feel so much more productive at college and so to keep that productivity in full gear ill have to chalk up some ideas for art projects this summer train an army of attack pigeons and take over a tiny and uninhabited island,joy
i have a feeling that your father already convinced him of that,joy
i feel im not bothered by that,anger
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger
im totally feeling bitchy and resentful about it,anger
i feel so wronged but what can i do,anger
i am feeling so grumpy today,anger
i feel that i have gotten to know the students pretty well and i talk to the parents if they drop their students off for the day,joy
i say we because it makes all the difference as a parent when you have an open and easy to talk to teacher who you really feel is the perfect fit for your child,joy
im with her i feel terrific,joy
i feel like this insecurity is a good thing when i first started writing i pictured it all,joy
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
im not convinced that it all makes since because the talking never feels sincere in its execution and maybe the themes in life seem to large to ever fathom but what s the point when it already feels like an emotionless pit of self craving attention,joy
i shut the door but i didn t feel triumphant,joy
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger
i was feeling grumpy not women problems grumpy but five year old i want to get my way kind of grumpy you don t think there s a difference,anger
i feel like im back in my element and very pleased to be surrounded by adorable tiny garments,joy
i know you feel tortured reading this,anger
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,joy
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,anger
i feel like it must be a popular choice to have alterations done elsewhere,joy
i feel bothered,anger
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger
i understand that any of my extremely positive attributes and there are some are overshadowed by my weakness and subconsciously some people are wired up to feel superior to others and thereby treat them differently,joy
i find it very hard to feel relaxed for more than hours,joy
i am just feeling grumpy and sore,anger
i feel your motivation will be satisfied when you read this write up also who understands,joy
i walk in the door to my house i feel happy,joy
i have been neglecting the feeling of people around me i was stubborn,anger
i have been sneakily listen to x mas music since the beginning of october but now i feel as if it is a little more socially acceptable to prance around while eartha kitt s version of santa baby blares from my ipod,joy
i typically respond when i feel offended,anger
i am wearing and feeling confident about myself,joy
im feeling artistic today,joy
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger
i feel my strengths are that i m very determined motivated in the workout room,joy
i feel so enraged that i want to punch him but i don t because he s only years old,anger
i get into what it actually does i feel like everyone should buy it just because it smells amazing,joy
i feel like im back to the arms of a beloved last seen a long time ago,joy
i feel satisfied and happy with my choices today,joy
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger
i was feeling and i said impatient,anger
i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc,anger
i feel there are other options that not as violent probably more costly yet equally futile so whats the problem with keeping our men and women out of harms way,anger
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,anger
i do feel very angered though,anger
i am feeling very virtuous today,joy
i just feel so good inside when i see people walking away with their own handmade pieces of,joy
i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy
i didnt feel safe in my room because the argument was going on in my room and things were getting rough,joy
im not feeling pissed off about picking up those toys,anger
im feeling so goddamn pissed and just,anger
i hopped on the scale this morning feeling none too optimistic,joy
i appreciate the award i feel there are so many wonderful blogs out there that we are all winners,joy
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger
i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy
i feel tortured every moment and theres nowhere i can go to get away from it or to get back to what i was used to,anger
im feeling brave this would be nice with black tips,joy
in ward a was an epileptic patient who was burnt the whole body and was stinking very much such that the whole ward was affected few people could come near him,anger
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,joy
i also wouldnt mind a canon d mark iii if anyone is feeling generous,joy
i wonder how genentech feel about a hostile takeover by its global partner,anger
i feel that when i run i that is me sarah the mind am supporting this body,joy
i feel truly impatient that this is taking so long,anger
i feel really greedy wanting all this stuff but my mom asked me to make a list so,anger
i feel popular but they dont want to be taught and they wont get married before the get baptized so they cant obviously,joy
i dont hate you i just honestly feel so bitter towards you atm,anger
i don t particularly have too much to say on it as it works well but doesn t particularly feel like it s something very clever or new,joy
i sometimes feel hated but i am not it is all in my head,anger
i feel like i need cute pictures to share,joy
i wake up feeling triumphant,joy
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy
i got a feeling by the look in her eyes that she was sincere,joy
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger
im watching a movie called sharknado i feel like my intelligence is being insulted,anger
i still feel like i get walked all over but well i m trying,joy
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger
i felt like the boys were disadvantaged missing out on all the exciting entertainments at home for children but now i feel like they have had a precious opportunity to get close and familiar with nature,joy
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger
i can feel their joy and excitement for the opportunity to receive these vital ordinances,joy
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,anger
i feel like i cant be brave,joy
i wish i could call off the wedding just so i can feel carefree again,joy
i feel really contented just listening to the song,joy
i dont know who i like i feel so bitchy and flirty,anger
im so damn tired and i feel a little grouchy,anger
i was feeling quite something im not sure,joy
i feel rude feel free to grab the seat next to me,anger
i feel irritated useless and hopeless,anger
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger
i hurt your feelings or angered you with my last rant im sorry,anger
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i was feeling pretty cranky this morning and stopping in here really made me feel a lot better,anger
i feel better now on the menu tonight,joy
i feel stressed out i would watch movies alone or just walk on the streets alone,anger
i slough off the carapace of crud that has enveloped me for the past thirty odd hours i feel invigorated and finally ready to face the day,joy
i discovered that it gave me a great feeling of satisfaction to produce a blog post a delicious dish a few photos a written recipe that tangible job completed feeling that s rare in my life as a stay at home mom,joy
i feel a lot of pressure but i am determined to finish them so that i can visit my sister in may with a clear conscience,joy
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger
i feel bitchy i guess,anger
i much regret that i allowed johann to accompany me from khartoum i feel convinced he can never rally from his present descara,joy
i feel have been convinced by many factors in our culture of a kind of cooking mystique,joy
im feeling very angry kind of sad tired and bored today,anger
im feeling a much more festive with the tree in,joy
i feel like as a creative professional you need to have that unpressed creative outlet to get re inspired,joy
i feel like i am being obnoxious by posting every three seconds,anger
a girl entered in the division where i work and greeted everybody but not me,anger
im feeling bitter towards them god,anger
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,anger
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,anger
i tired of hearing of these unique communications special feelings and how sincere you are,joy
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,joy
i feel bitchy today its as if today i realized that i couldnt count on any of my friends anymore,anger
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,anger
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,anger
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,anger
i feel really free i feel that i can grow wings amp fly,joy
i couldnt help feel infuriated when i had left the building,anger
i just feel kind of heartless now,anger
i feel stubborn and strong and ready to fight this disease,anger
i was also feeling really pleased that i decided well cajoled bullied and ordered to go out running this evening,joy
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger
i am feeling especially lively,joy
im already feeling less agitated,anger
i want to feel energetic again and when i do just that bit of exercise every day be it minutes i feel more awake energized and more focused,joy
i feel like a greedy person for liking two people,anger
i do feel offended and i think justly,anger
im thinking that feeling extremely cold yesterday was more down to me brewing something than the actual weather,anger
i have a feeling that the smell is not going to be pleasant,joy
i cant let all these feeling in one blink im not a heartless person like you i give you a lot of change i give you a lot of change to come and change your decisions i give you a lot of change to find me but you threw it like a crap,anger
i feel so despised and i feel this world is crumbling onto me again,anger
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger
as in sadness a,anger
i feel far too distracted to actually write anything of substance,anger
i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,joy
i started explaining what my biggest problems were bottling up my feelings and then dumping all those problems onto one person and my selfish search for happiness when i had felt everyone around me had found their happiness,anger
ive had a somewhat difficult time trying to find something to feel thankful for,joy
i feel like people like this arent getting caught therefore the government plays it up when they catch criminals of petty crimes to make themselves look better,anger
i call someone i feel like i need to at least talk a few minutes to not be rude,anger
i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful,joy
im told by horsey people that they are a rare find so i feel quite lucky,joy
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,joy
i was feeling rebellious so i ate it,anger
i feel like now i have the opportunity to become smart to embrace knowledge and really learn about everything i have daydreamed of learning,joy
i feel useful again and serves as a reminder that ive come a long way since the first days of vertigo,joy
i could feel the blood in my veins go cold,anger
i started to feel super emotional all the time which was so strange,joy
im feeling pretty rebellious right now because im writing this is my engineering class,anger
i used to feel as if i would be hated and whatever so i kept quiet about god,anger
i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,joy
i feel so frustrated but i cant tell them i am,anger
i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,anger
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,anger
i feel incredibly charmed that i have these people in my life and that i am at such an exciting amazing chapter of things,joy
i feel jealous of everyone who has the chance to meet you everyday,anger
i brought up privately a couple weeks ago that i felt targeted after feeling frustrated and belittled,anger
i feel honoured that my clients walk through my doors sometimes for the very first time and trust me with their brand new one week old bundles of joy,joy
im sure its a great film but i guess i wasnt feeling too appreciative and just had a long day,joy
i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,joy
i feel that it could have been a more successful outcome had i explored new styles but kept it close to me and remained myself,joy
i feel glad i can still teach him at home myself,joy
ive had a feeling of being satisfied with the performance of my car,joy
i tend to lose feel for the water pretty quickly when im not in the water every other day and i felt this during the race,joy
my flatmate was asking questions about my relationship with my boyfriend,anger
i feel honoured that she has chosen to share this with me,joy
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,anger
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating,joy
i am feeling so festive right now and not just because this was the lovely wintry scene when i walked the dog the other day a href http,joy
ive worked plenty of them and have yet to find one that leaves me feeling satisfied with the way ive spent another day that i will never get back,joy
i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,anger
im feeling so excited and eager,joy
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger
i find that i never stop feeling excited for our company s future,joy
i sat with dave atell at first trying not to feel rude while the guys were eating,anger
im good at hiding my true feelings or blurting them out in sarcastic tones,anger
ive been feeling really energetic at night and honestly i needed this,joy
i can feel the beginnings of a cold so i figured i deserve a heinously hot bath,anger
im inclined to believe that im simply too lazy to feel particularly greedy,anger
i feel almost angry that i have been fed like a lab rat for so many years,anger
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger
i actually feel insulted when the plot goes off on a tangent like that,anger
i arrived at the gym she was such a ball of sunshine and made me feel very welcomed at the gym although i felt like a dorky unfit rotund sloth that did not fit in with the environment of buffed fit looking and fierce looking bloke,joy
i can feel his impatient and i can t stop my body from giving him positive response,anger
i also feel extremely blessed to be marrying into such a loving family,joy
i am your friend then why do i sometime feel so insulted around you,anger
i don t discuss even my feelings for beloved with anyone,joy
i don t feel like i am dissatisfied because i don t have things i think i am dissatisfied because not much is changing in me and i still feel bad at times,anger
i feel super glued to my bed,joy
i must say that the initial splash was not too bad but after a few strokes you could feel the cold getting into your bones,anger
i woke up today feeling pissed off,anger
i went in there feeling a little hostile because it felt like they didnt really care about me,anger
i experience all my normal moods feel annoyed when my year old whines or my baby wants to be held while im making dinner but i no longer feel consumed by these emotions,anger
i get the feeling that the rest of yall are a little appalled about it,anger
i feel so hated and useless sometimes i even ask myself why havent i killed myself yet,anger
i feel extremely insulted,anger
i drove home i was aware of feeling not like myself and then she called to ask if i was ok,joy
i am feeling quite pleased with myself as this was something id never done before,joy
i feel that this was their mistake and they are just being rude,anger
ive played fps games and each time ive left feeling like it was an mentally emotionally dangerous thing to do that i had to switch off an important part of my brain just to play it,anger
i feel if you re learning about your purpose and the workings of this universe and continue to evolve and transcend you will be productive and such along the journey,joy
i also love seeing a star emerge and i feel like in a few years everyone is gonna know and i can be one of those people who says obnoxious things like bah,anger
i am feeling a bit adventurous i put on red lipstick rouge artist and intense from make up for ever,joy
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,anger
i want be there when she passed away or when she was not feeling good and same with my brother and other grandparents,joy
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,anger
i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend,anger
i never feel brave and nor do i want to be as i believe that in order to be brave you have to make a conscious choice as to whether you want to be brave or not,joy
i feel like that leaves me as the artistic equivalent of the crack between couch cushions,joy
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,anger
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,anger
i overhear the victory tune on some geeks ringtone i feel triumphant,joy
i dont even know how to express how it made me feel these kids were so appreciative of the fact that we were coming there and it was very heavy to think that maybe our music gave them a little something to grasp on to,joy
i ended up changing my clothes and laying in bed with my eyes closed for the next hour and eventually i started to feel better,joy
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,joy
i had been feeling was all my fault that i had wronged her and caused her to abandon me,anger
i remember feeling as innocent as she looked that day,joy
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,anger
i have done music and movie production in the last four years and i feel its time i do fashion which im very passionate about,joy
i feel like a distracted robot,anger
i feel it is worthwhile to document it for people who are not familiar with batch files,joy
i now feel so determined to smash round and really give her something to be proud of,joy
i feel like i am really grouchy and some days i get in moods where i feel like it is me against the world,anger
im hesitant to make suggestions because i feel as if the outcome would not be sincere,joy
im really feeling good,joy
i was feeling all resentful that id been given such a boring assignment and,anger
im feeling bitchy on saturday,anger
i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,joy
i have been working hard to shake these feelings because being popular or a genre novel or non literary fiction does not make a book any less legitimate or any less something to read and enjoy and analyze,joy
i have to say however is that is is awfully difficult to feel glamorous and sensational in all this heat ash stench greasy hair and your basic post yeast infection mode,joy
i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,anger
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,anger
i thought i hope our vanquished england failures are watching this and feeling very envious and determined to do everything to improve and maybe one day do something similar before i die,anger
i might go get a car wash if i am feeling really generous my car needs it,joy
i feel that i no longer have to do things to look cool,joy
i just feel really irritable and everything drives me insane,anger
i am not feeling well or grouchy or lazy ill sometimes forego my bed in favor of our futon couch for a little shut eye,joy
i feel less bitchy in the morning,anger
i feel like i got resentful and tired and i just wanted to talk to him so badly,anger
i feel that each point is equally important than each,joy
i have that spring fling feeling again and like a flower unfurling my artistic soul is ready for some sunshine,joy
i feel it s acceptable for me to put forth little effort in today s post,joy
i feel like ive been sooo distracted and i need to regain my focus again,anger
i just feel left out hated extra,anger
i feel that im fine without him,joy
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,anger
i feel rediculous and petty and yet justified,anger
i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy
i feel furious at myself for being so pathetic furious at her for various reasons,anger
i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,joy
i am not okay with feeling annoyed at myself and at life all the time,anger
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,anger
i am feeling hostile enough that i even hate jim right now,anger
im feeling pissed and sad right now,anger
i love running because i feel strong and powerful and totally in control,joy
i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays,joy
i lose interest in reading stories when i feel like the tension has been resolved which did happen a few times and yet i kept wanting to read more,joy
i feel selfish thinking this way but i feel so lonely at times,anger
i feel happy now that i am enjoying the changes in my life and looking forward to the unknown good times that are yet to come autumn and winter are suddenly just new steps on the journey,joy
i admit that in the past ive done a lot of time scoffing and feeling superior to christians,joy
i feel this strategy is worthwhile,joy
i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,joy
i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past,joy
i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,joy
i don t feel like there was a part before the race where i was stressed out,anger
ive been feeling disgusted and ashamed,anger
i don t just mean that the sensations we experience influence our moods i m not simply pointing out that say discomfort in our bodies makes us feel irritable,anger
im most afraid of i already feel slightly out of place at cru because while most of them will say they are my friend very few of them bothered to reach out and ask how things were going in australia,anger
im feeling a little stressed out about it but i cant do much right now because im waiting for a couple of tax returns in the mail and a letter from jasons employer which is taking quite some time,anger
i feel very comfortable with this decision,joy
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,anger
i am feeling remotely dignified tasteful or comfortable,joy
i can see or feel about it is the divine possibility of being with you away alone for one long golden day at last anywhere,joy
heated discussion with spouse concerning new house,anger
i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,joy
i feel that popular bloggers dont post with freedom anymore there will always be part control rare exception is the blog love aesthetics,joy
i can never fall in love with anyone because my feelings make me too dangerous,anger
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger
i am months into the medication and i feel fantastic,joy
i was feeling energetic and strong,joy
i just really need the money right now and i feel like some greedy nasty aunt for not wanting to hand everything over,anger
i feel like i was a rude ass hole at hookah,anger
i never feel that popular,joy
i am sure the pleasure of living in the open air with the sky for a roof and the ground for a table is part of the same feeling it is the savage returning to his wild and native habits,anger
i am feeling it and it s really ok,joy
i feel like my very own very little barbie doll i get to decorate myself up i hated heels before but thats all i wear now,anger
i feel like the character precious,joy
i can not see friends and for the most part i feel like leaving my bedroom could be dangerous,anger
ive had two shots of lupron and im feeling fine,joy
im already not feeling terrific,joy
i worked today on writing and making sure the rest of the house was as perfect as i could make it to feel our own peaceful sense of order pm linda writing always makes you feel better and accomplished too,joy
i feel like affirmation however petty is what i really need,anger
i want to feel and maybe something i am feeling convinced myself of the nvm state of mind i am in after due deliberations,joy
i feel any artist that puts forth a piece of work even ones i do not agree with should be respected even if it s just for the sake of them overcoming the shackles of our society s norms,joy
i feel so blessed that i am able to leave there,joy
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,anger
im getting things done that i really need to and i feel good about it,joy
i feel more resolved and less like smoking my lungs today are obviously not very happy with me,joy
i was feeling a bit rebellious today,anger
i feel so rich when i pass by you i see a penny,joy
i know there are days in which you feel distracted,anger
i feel energetic and fresh and the great things is my eye sight has improved a lot,joy
i actually feel hopeful today,joy
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,joy
i nodded proud of my decision to procure a pump feeling slightly smug,joy
i cant help but feel a little jubilant as i walk through the arrivals gate,joy
i hadnt read on a blog before and you guys i feel thrilled that i know you at all,joy
i feel like being sociable anymore,joy
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,joy
i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions,joy
im feeling rather inspired yet low i will enjoy my writing and even though i may be writing about morbid things i will find a way to make it interesting to read,joy
i still feel annoyed and the older sd is always sick with something and i mean always,anger
i feel rewarded and useful and valuable anyway,joy
i might feel a bit proud if i had one on my left wrist as this is a turbillion watch made in hong kong,joy
i guess im just feeling a little rebellious,anger
i have a very difficult time allowing people to do nice things for me without feeling either insulted or like i m in their debt,anger
im so relieved and feel so much more like myself now that this is resolved this being almost nothing at all actually just some weird energy and i cant wait to be back at camp even though ill be hacking and coughing and spluttering all day long,joy
i feel outraged about this type of thing,anger
i have begun to feel as though i have valuable contributions and insights to make within a network of professionals,joy
im currently struggling with feeling offended at my drs office worried about my body and what the heck is wrong very seriously contemplating getting my tubes tied and then the normal everyday things that occupy our minds at any given time,anger
i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,anger
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,anger
i feel not heartless because my heart hurts so i still feel it i feel so much pain,anger
im feelin spiteful so well actually visit my house to watch rally finland,anger
